Nimi;Lukumäärä
Vaula;312
Mirja-Liisa;311
Usva;311
Manuel;311
Vivi;310
Karo;310
Jenniina;309
Uuno;309
Sienna;308
Ramona;307
Jack;307
Marius;307
Pete;306
Vihtori;306
Beatrice;304
Lia;303
Eeti;303
Herman;303
Karim;303
Kasimir;303
Helene;302
Sonia;302
Miriam;301
Rosita;301
Joshua;300
Margarita;299
Edwin;299
Herkko;299
Edla;298
Gerd;298
Marit;298
Ninja;298
Sanja;298
Daria;297
Alvari;297
Salma;296
Kuisma;296
Karina;295
Aleksis;295
Bianca;294
Jean;294
Svante;294
Carla;293
Gretel;293
Maj-Len;293
Nadia;293
Riika;293
Julian;293
Ole;293
Edvard;292
Soini;292
Aslak;291
Jason;291
Rianna;290
Abdullahi;290
Asser;290
Einar;290
Ville-Matti;289
Eeva-Kaisa;288
Esa-Pekka;288
Hannu-Pekka;288
Dominic;287
Jari-Matti;287
Miio;287
Totti;287
Jake;286
Adelina;285
Mari-Anne;285
Mariitta;285
Iisakki;285
Thea;284
Iisak;284
Maksim;284
Masi;284
Anelma;283
Ove;283
Ylva;282
Erkko;282
Orvo;282
Pirkka;282
Maryam;281
Miila;281
Petro;281
Valde;281
Annica;280
Edit;280
Hanna-Riikka;280
Susa;280
Lisbet;278
Ahmad;277
Angelica;276
Oleg;276
Ursula;275
Nikke;275
Roland;275
Verner;275
Hellin;274
Melisa;274
Salla-Mari;274
Mertsi;274
Anri;273
Erna;273
Nette;273
Konstantin;273
Hilppa;272
Ari-Matti;272
Joachim;272
Jörgen;272
Justiina;271
Mikhail;271
Milton;271
Zahra;270
Klara;269
Maikki;269
Mariella;268
Eeva-Riitta;267
Viveka;267
Amira;266
Kaarin;266
Benny;266
Ian;266
Arja-Liisa;265
Kreetta;265
Paulina;265
Melvin;265
Rikhard;265
Rony;265
Ruusa;264
Hassan;264
Kaspian;264
Eeva-Leena;263
Sune;262
Ted;262
Kajsa;261
Rut;261
Tiiu;261
Jaani;261
Jasse;261
Bernt;260
Anna-Riikka;259
Kaija-Leena;259
Petter;259
Raita;258
Per-Erik;258
Anthony;257
Viveca;256
Emilie;255
Micaela;255
Britt-Marie;254
Dina;254
Henrika;254
Anselmi;254
Eddie;254
Olof;254
Auri;253
Jennie;253
Marlene;253
Rosa-Maria;253
Dimitri;253
Juho-Pekka;253
Angelina;252
Jenina;252
Maija-Riitta;252
Ninna;252
Eden;251
Liia;251
Valeria;251
Ann-Christin;250
Auni;250
Louise;250
Molly;250
Sergey;250
Jetro;249
Maunu;249
Timo-Pekka;249
Yusuf;249
Josefin;248
Lovisa;248
Maia;247
Adelia;246
Göta;246
Josefine;245
Jone;245
Torsten;245
Arja-Leena;244
Peik;244
Pessi;244
Samir;244
Wiljami;244
Liana;243
Susann;243
Telma;243
Hussein;243
Berndt;242
Hanni;241
Gösta;241
Isabelle;240
Meri-Tuuli;240
Renne;240
Jana;239
Lilly;239
Kirill;239
Wilmer;239
Anna-Riitta;237
Sabrina;237
Andrey;237
Anna-Lena;236
Ksenia;236
Immo;236
Knut;236
Charles;235
Levi;235
Simeon;235
Pieta;234
Dick;234
Sigrid;233
Tilde;233
Ernst;233
Wäinö;233
Disa;232
Gabriella;231
Karl-Erik;231
Matthew;231
Marleena;230
Annakaisa;229
Elizabeth;229
Suvi-Tuuli;229
Viggo;229
Birger;228
Dmitri;228
Anna-Kaarina;227
Juliana;227
Larisa;227
Alec;227
Antonio;226
Cassandra;225
Klaara;225
Sirpa-Liisa;225
Emmiina;224
Eva-Maria;224
Jannica;224
Marke;224
Nadezda;224
Polina;224
Casimir;224
Lars-Erik;224
Ronnie;224
Hanna-Liisa;223
Leni;223
Maini;223
Sirke;223
Noona;222
Wilhelmiina;222
Miiko;222
Carl-Johan;221
Kare;221
Mårten;221
Lotte;220
Riitta-Leena;220
Kuutti;220
Leonard;220
Evi;219
Katrina;219
Liudmila;219
Merja-Liisa;219
Tinka;219
Britt;218
Catharina;218
Eeva-Kaarina;218
Minna-Maria;218
Ulla-Riitta;218
Elian;218
Hamza;218
Nemo;218
Olli-Matti;218
Aino-Maria;217
Sannamari;215
Sarianne;215
Aino-Maija;214
Jeremia;214
Ola;214
Else-Maj;213
Janet;213
Jennika;213
Sanna-Maija;213
Seidi;213
Alexandre;213
Leonardo;213
Mike;213
Arla;212
Kaija-Liisa;212
Carlos;212
Conny;212
Isac;212
Jermu;212
Kerkko;212
Angela;211
Eleonora;211
Kukka;211
Lyyti;211
Piitu;211
Alla;210
Celina;210
Filippa;210
Kaino;210
Raul;210
Marissa;209
Rico;209
Nancy;208
Pia-Maria;208
Staffan;208
Ellinor;207
Sissi;207
Joe;207
Olle;207
Ville-Valtteri;207
Ann-Sofie;206
Solja;206
Kennet;206
Adalmiina;205
Elizaveta;205
Elli-Noora;205
Heidi-Maria;205
Ana;204
Annie;204
Manne;204
Tore;204
Mariel;202
Päivikki;202
Reea;202
Anas;202
Jali;202
Mehmet;202
Magdalena;200
Margita;200
Peppiina;200
Daniil;200
Frej;200
Ismail;200
Carmen;199
Ilta;199
Kukka-Maaria;199
Sanna-Leena;199
Said;199
Tristan;199
Elmi;198
May;198
Liinus;198
Catarina;197
Tia-Maria;197
Jesperi;197
Anna-Lisa;196
Benjam;196
Remu;196
Bodil;195
Ami;195
Ruusu;194
Aappo;194
Andrew;194
Bertel;194
Jani-Petteri;194
Mihail;194
Evelin;193
Minna-Mari;193
Alexey;193
Artem;193
Ingmar;193
Jaska;193
Sixten;193
Eija-Riitta;192
Caj;192
Glenn;192
Jusa;192
Ani;191
Freya;191
Dmitry;191
Anne-Maija;190
Adeliina;189
Kamilla;189
Simo-Pekka;189
Valentin;189
Elja;188
Hemmi;188
Sture;188
Yngve;188
Fia;187
Jasmi;187
Minerva;187
Amy;186
Antonia;186
Emmy;186
Katrin;186
Kiti;186
Mimi;186
Satu-Maarit;186
Huugo;186
Kristo;186
Ossian;186
Marica;185
Sallamari;185
Sina;185
Fred;185
Ron;185
Rudolf;185
